,pop
0,"40,1 Millionen (2021)"
1,"2,812 Millionen (2021)"
2,"44,18 Millionen (2021)"
3,"34,5 Millionen (2021)"
4,93.219 (2021)
5,"45,81 Millionen (2021)"
6,"2,791 Millionen (2021)"
7,"25,69 Millionen (2021)"
8,"8,956 Millionen (2021)"
9,"10,14 Millionen (2021)"
10,407.906 (2021)
11,"1,463 Millionen (2021)"
12,"169,4 Millionen (2021)"
13,281.200 (2021)
14,"9,34 Millionen (2021)"
15,"11,59 Millionen (2021)"
16,400.031 (2021)
17,13 Millionen (2021)
18,777.486 (2021)
19,"12,08 Millionen (2021)"
20,"3,271 Millionen (2021)"
21,"2,588 Millionen (2021)"
22,"214,3 Millionen (2021)"
23,445.373 (2021)
24,"6,878 Millionen (2021)"
25,"22,1 Millionen (2021)"
26,"12,55 Millionen (2021)"
27,"16,59 Millionen (2021)"
28,"27,2 Millionen (2021)"
29,"38,25 Millionen (2021)"
30,587.925 (2021)
31,"5,457 Millionen (2021)"
32,"17,18 Millionen (2021)"
33,"19,49 Millionen (2021)"
34,"1,412 Milliarden (2021)"
35,"51,52 Millionen (2021)"
36,821.625 (2021)
37,"95,89 Millionen (2021)"
38,"5,836 Millionen (2021)"
39,"5,154 Millionen (2021)"
40,"27,48 Millionen (2021)"
41,"3,899 Millionen (2021)"
42,"1,244 Millionen (2021)"
43,"10,51 Millionen (2021)"
44,"5,857 Millionen (2021)"
45,"11,12 Millionen (2021)"
46,"17,8 Millionen (2021)"
47,"109,3 Millionen (2021)"
48,"6,314 Millionen (2021)"
49,"1,634 Millionen (2021)"
50,"3,62 Millionen (2021)"
51,"1,331 Millionen (2021)"
52,924.610 (2021)
53,"5,541 Millionen (2021)"
54,"67,75 Millionen (2021)"
55,"2,341 Millionen (2021)"
56,"2,64 Millionen (2021)"
57,"3,709 Millionen (2021)"
58,"83,2 Millionen (2021)"
59,"32,83 Millionen (2021)"
60,"10,64 Millionen (2021)"
61,124.610 (2021)
62,"17,11 Millionen (2021)"
63,"13,53 Millionen (2021)"
64,"2,061 Millionen (2021)"
65,804.567 (2021)
66,"11,45 Millionen (2021)"
67,"9,71 Millionen (2021)"
68,372.520 (2021)
69,"1,408 Milliarden (2021)"
70,"273,8 Millionen (2021)"
71,"87,92 Millionen (2021)"
72,"43,53 Millionen (2021)"
73,"5,033 Millionen (2021)"
74,"9,364 Millionen (2021)"
75,"59,11 Millionen (2021)"
76,"2,828 Millionen (2021)"
77,"125,7 Millionen (2021)"
78,"11,15 Millionen (2021)"
79,19 Millionen (2021)
80,"53,01 Millionen (2021)"
81,128.874 (2021)
82,"4,25 Millionen (2021)"
83,"6,692 Millionen (2021)"
84,"7,425 Millionen (2021)"
85,"1,884 Millionen (2021)"
86,"5,593 Millionen (2021)"
87,"2,281 Millionen (2021)"
88,"5,193 Millionen (2021)"
89,"6,735 Millionen (2021)"
90,"2,801 Millionen (2021)"
91,640.064 (2021)
92,"2,065 Millionen (2021)"
93,"28,92 Millionen (2021)"
94,"19,89 Millionen (2021)"
95,"33,57 Millionen (2021)"
96,521.457 (2021)
97,"21,9 Millionen (2021)"
98,518.536 (2021)
99,"4,615 Millionen (2021)"
100,"1,266 Millionen (2021)"
101,-1
102,"2,615 Millionen (2021)"
103,"3,348 Millionen (2021)"
104,619.211 (2021)
105,"37,08 Millionen (2021)"
106,"32,08 Millionen (2021)"
107,"53,8 Millionen (2021)"
108,"2,53 Millionen (2021)"
109,"30,03 Millionen (2021)"
110,"17,53 Millionen (2021)"
111,"5,123 Millionen (2021)"
112,"25,25 Millionen (2021)"
113,"213,4 Millionen (2021)"
114,"5,408 Millionen (2021)"
115,"4,52 Millionen (2021)"
116,"231,4 Millionen (2021)"
117,"4,351 Millionen (2021)"
118,"6,704 Millionen (2021)"
119,"33,72 Millionen (2021)"
120,"113,9 Millionen (2021)"
121,-1
122,"10,33 Millionen (2021)"
123,"2,688 Millionen (2021)"
124,"19,12 Millionen (2021)"
125,"143,4 Millionen (2021)"
126,"13,46 Millionen (2021)"
127,218.764 (2021)
128,"35,95 Millionen (2021)"
129,"16,88 Millionen (2021)"
130,"6,834 Millionen (2021)"
131,99.258 (2021)
132,"8,421 Millionen (2021)"
133,"5,454 Millionen (2021)"
134,"5,447 Millionen (2021)"
135,"2,108 Millionen (2021)"
136,707.851 (2021)
137,"59,39 Millionen (2021)"
138,"51,74 Millionen (2021)"
139,"47,42 Millionen (2021)"
140,"22,16 Millionen (2021)"
141,104.332 (2021)
142,"45,66 Millionen (2021)"
143,612.985 (2021)
144,"10,42 Millionen (2021)"
145,"8,703 Millionen (2021)"
146,"9,75 Millionen (2021)"
147,"63,59 Millionen (2021)"
148,"71,6 Millionen (2021)"
149,"1,321 Millionen (2021)"
150,"8,645 Millionen (2021)"
151,106.017 (2021)
152,"12,26 Millionen (2021)"
153,"84,78 Millionen (2021)"
154,"6,342 Millionen (2021)"
155,"45,85 Millionen (2021)"
156,"43,79 Millionen (2021)"
157,"9,365 Millionen (2021)"
158,"67,33 Millionen (2021)"
159,"331,9 Millionen (2021)"
160,"3,426 Millionen (2021)"
161,"34,92 Millionen (2021)"
162,319.137 (2021)
163,"28,2 Millionen (2021)"
164,"97,47 Millionen (2021)"
165,"32,98 Millionen (2021)"
166,"19,47 Millionen (2021)"
